x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
54.0,112.0,385.0,257.0,0.0,142.0,0.0,0.0,41.0,0.0,9.0
0.0,119.0,208.0,0.0,543.0,79.0,0.0,0.0,33.0,0.0,18.0
33.0,0.0,332.0,109.0,0.0,106.0,381.0,0.0,0.0,32.0,7.0
0.0,0.0,0.0,372.0,0.0,0.0,0.0,281.0,225.0,78.0,44.0
198.0,0.0,0.0,0.0,0.0,0.0,520.0,226.0,0.0,26.0,30.0
52.0,105.0,0.0,0.0,693.0,0.0,0.0,0.0,21.0,110.0,19.0
0.0,29.0,184.0,96.0,384.0,0.0,302.0,0.0,0.0,0.0,5.0
38.0,0.0,314.0,87.0,0.0,121.0,401.0,0.0,28.0,0.0,11.0
0.0,58.0,0.0,218.0,546.0,95.0,0.0,0.0,26.0,49.0,8.0
0.0,0.0,0.0,105.0,545.0,0.0,319.0,0.0,20.0,0.0,11.0
0.0,95.0,394.0,247.0,0.0,117.0,0.0,0.0,55.0,68.0,24.0
80.0,150.0,0.0,0.0,664.0,81.0,0.0,0.0,0.0,0.0,25.0
0.0,133.0,0.0,0.0,0.0,0.0,593.0,224.0,0.0,27.0,23.0
0.0,0.0,598.0,119.0,0.0,0.0,0.0,242.0,0.0,30.0,11.0
0.0,23.0,170.0,82.0,372.0,60.0,291.0,0.0,0.0,0.0,2.0
0.0,0.0,348.0,65.0,0.0,105.0,258.0,194.0,25.0,0.0,5.0
19.0,0.0,0.0,0.0,572.0,78.0,0.0,289.0,0.0,33.0,9.0
0.0,139.0,0.0,362.0,0.0,379.0,0.0,0.0,102.0,0.0,18.0
69.0,135.0,0.0,0.0,656.0,94.0,0.0,0.0,22.0,0.0,24.0
38.0,53.0,217.0,190.0,473.0,0.0,0.0,0.0,20.0,0.0,9.0
34.0,41.0,0.0,0.0,467.0,70.0,361.0,0.0,0.0,23.0,4.0
0.0,0.0,0.0,0.0,719.0,86.0,0.0,0.0,17.0,163.0,15.0
0.0,0.0,0.0,103.0,518.0,0.0,344.0,0.0,0.0,30.0,5.0
32.0,0.0,0.0,57.0,567.0,78.0,0.0,237.0,0.0,20.0,9.0
89.0,85.0,0.0,139.0,0.0,317.0,0.0,280.0,77.0,0.0,13.0
14.0,0.0,179.0,0.0,378.0,0.0,200.0,211.0,0.0,17.0,1.0
0.0,171.0,0.0,326.0,0.0,0.0,0.0,291.0,176.0,0.0,36.0
110.0,0.0,0.0,389.0,0.0,349.0,0.0,0.0,118.0,0.0,34.0
85.0,0.0,0.0,182.0,0.0,323.0,0.0,278.0,108.0,0.0,24.0
0.0,50.0,335.0,120.0,0.0,105.0,384.0,0.0,0.0,0.0,6.0
166.0,73.0,0.0,210.0,0.0,0.0,505.0,0.0,0.0,26.0,20.0
37.0,29.0,0.0,0.0,542.0,0.0,366.0,0.0,19.0,0.0,7.0
38.0,29.0,0.0,0.0,558.0,0.0,325.0,0.0,17.0,31.0,2.0
45.0,45.0,426.0,0.0,0.0,0.0,416.0,0.0,32.0,30.0,6.0
0.0,0.0,222.0,0.0,541.0,65.0,0.0,0.0,0.0,147.0,25.0
0.0,0.0,0.0,0.0,511.0,71.0,214.0,197.0,0.0,0.0,7.0
28.0,0.0,170.0,0.0,392.0,0.0,201.0,199.0,0.0,0.0,10.0
49.0,0.0,0.0,268.0,580.0,86.0,0.0,0.0,0.0,0.0,17.0
76.0,0.0,252.0,0.0,616.0,0.0,0.0,0.0,27.0,0.0,29.0
58.0,100.0,383.0,239.0,0.0,137.0,0.0,0.0,0.0,61.0,22.0
102.0,154.0,0.0,311.0,0.0,328.0,0.0,0.0,76.0,0.0,29.0
43.0,0.0,0.0,105.0,517.0,0.0,311.0,0.0,17.0,0.0,7.0
0.0,31.0,418.0,72.0,0.0,0.0,293.0,163.0,0.0,13.0,10.0
251.0,184.0,0.0,0.0,0.0,0.0,0.0,294.0,174.0,64.0,33.0
0.0,0.0,450.0,96.0,0.0,162.0,0.0,283.0,0.0,0.0,9.0
33.0,0.0,0.0,0.0,555.0,0.0,377.0,0.0,0.0,26.0,9.0
13.0,0.0,218.0,57.0,456.0,0.0,0.0,255.0,0.0,0.0,1.0
0.0,30.0,449.0,0.0,0.0,0.0,299.0,180.0,22.0,15.0,5.0
36.0,0.0,205.0,220.0,467.0,49.0,0.0,0.0,13.0,0.0,10.0
25.0,31.0,0.0,0.0,543.0,85.0,0.0,295.0,10.0,0.0,11.0
