x1,x2,x3,x4,x5,x6
637.0,349.0,0.0,0.0,0.0,14.0
0.0,538.0,407.0,0.0,43.0,12.0
0.0,535.0,412.0,0.0,41.0,12.0
356.0,278.0,0.0,364.0,0.0,2.0
0.0,0.0,0.0,621.0,205.0,174.0
0.0,0.0,619.0,331.0,40.0,10.0
582.0,0.0,392.0,0.0,21.0,5.0
570.0,0.0,0.0,420.0,0.0,10.0
609.0,340.0,0.0,0.0,36.0,15.0
0.0,442.0,276.0,276.0,0.0,6.0
0.0,453.0,288.0,253.0,0.0,6.0
376.0,311.0,306.0,0.0,0.0,7.0
0.0,445.0,260.0,294.0,0.0,1.0
920.0,0.0,0.0,0.0,58.0,22.0
551.0,0.0,0.0,400.0,41.0,8.0
455.0,0.0,279.0,261.0,0.0,5.0
357.0,287.0,349.0,0.0,0.0,7.0
350.0,318.0,0.0,329.0,0.0,3.0
921.0,0.0,0.0,0.0,57.0,22.0
552.0,0.0,436.0,0.0,0.0,12.0
916.0,0.0,0.0,0.0,62.0,22.0
634.0,350.0,0.0,0.0,0.0,16.0
0.0,423.0,264.0,306.0,0.0,7.0
0.0,0.0,661.0,318.0,0.0,21.0
578.0,0.0,407.0,0.0,0.0,15.0
0.0,523.0,0.0,468.0,0.0,9.0
0.0,0.0,626.0,313.0,45.0,16.0
0.0,744.0,0.0,0.0,120.0,136.0
0.0,529.0,459.0,0.0,0.0,12.0
0.0,0.0,616.0,314.0,53.0,17.0
0.0,0.0,607.0,328.0,52.0,13.0
655.0,328.0,0.0,0.0,0.0,17.0
533.0,0.0,429.0,0.0,30.0,8.0
0.0,752.0,0.0,0.0,127.0,121.0
0.0,520.0,465.0,0.0,0.0,15.0
0.0,0.0,617.0,322.0,48.0,13.0
618.0,365.0,0.0,0.0,0.0,17.0
353.0,278.0,367.0,0.0,0.0,2.0
0.0,0.0,624.0,363.0,0.0,13.0
356.0,269.0,368.0,0.0,0.0,7.0
0.0,517.0,0.0,431.0,42.0,10.0
0.0,546.0,447.0,0.0,0.0,7.0
0.0,0.0,848.0,0.0,88.0,64.0
0.0,750.0,0.0,0.0,131.0,119.0
474.0,0.0,276.0,243.0,0.0,7.0
545.0,0.0,445.0,0.0,0.0,10.0
0.0,0.0,862.0,0.0,93.0,45.0
327.0,330.0,0.0,340.0,0.0,3.0
560.0,0.0,0.0,389.0,38.0,13.0
0.0,522.0,428.0,0.0,38.0,12.0
